"sequence","Network_annotation","EggNOG_annotation"
"isogroup25691","isogroup25691|blue kME=0.62|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","glutathione peroxidase 8"
"isogroup25692","isogroup25692|darkorange kME=0.34|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup25695","isogroup25695|skyblue kME=0.45|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup25697","isogroup25697|darkred kME=0.48|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25699","isogroup25699|darkorange kME=0.44|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","DEP domain containing 5"
"isogroup25702","isogroup25702|green kME=0.41|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","IGc1"
"isogroup25707","isogroup25707|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25708","isogroup25708|darkorange kME=0.39|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Zinc finger, C3HC4 type (RING finger)"
"isogroup25710","isogroup25710|skyblue kME=0.37|Associations:(R2=-0.38) response duration to acoustic stimulus.","FGFR1 oncogene partner 2"
"isogroup25711","isogroup25711|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25713","isogroup25713|darkorange kME=0.4|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","membrane-associated ring finger (C3HC4) 3"
"isogroup25715","isogroup25715|darkorange kME=0.31|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup25719","isogroup25719|red kME=0.34|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"isogroup2572","isogroup2572|orangered4 kME=0.48|Associations:(R2=+0.3) time between assay and RNA collection; (R2=-0.4) response duration to acoustic stimulus; (R2=-0.34) max speed in response to acoustic stimulus.",NA
"isogroup25720","isogroup25720|darkgrey kME=0.42|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25721","isogroup25721|green kME=0.52|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","vitelline membrane outer layer 1 homolog (chicken)"
"isogroup25722","isogroup25722|blue kME=0.31|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup25723","isogroup25723|skyblue kME=0.41|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup25724","isogroup25724|brown kME=0.4|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup25726","isogroup25726|blue kME=0.47|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup25730","isogroup25730|red kME=0.28|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","feline leukemia virus subgroup C cellular receptor family, member"
"isogroup25732","isogroup25732|cyan kME=0.65|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","prostaglandin I2 (prostacyclin) synthase"
"isogroup25734","isogroup25734|brown kME=0.47|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup25735","isogroup25735|blue kME=0.63|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup25736","isogroup25736|black kME=0.43|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","nucleoporin 50kDa"
"isogroup25739","isogroup25739|darkorange kME=0.54|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Pfam:efhand_Ca_insen"
"isogroup2574","isogroup2574|black kME=0.44|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","Inherit from veNOG: Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"
"isogroup25742","isogroup25742|darkorange kME=0.3|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","integrin alpha FG-GAP repeat containing 2"
"isogroup25743","isogroup25743|darkred kME=0.41|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25744","isogroup25744|skyblue kME=0.3|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup25746","isogroup25746|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","Phospholipase A2, group VI (Cytosolic, calcium-independent)"
"isogroup25762","isogroup25762|darkred kME=0.42|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25768","isogroup25768|skyblue kME=0.32|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup25769","isogroup25769|darkorange kME=0.47|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Purkinje cell protein"
"isogroup25771","isogroup25771|brown kME=0.36|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup25773","isogroup25773|blue kME=0.32|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","peptidylprolyl isomerase D"
"isogroup25774","isogroup25774|green kME=0.41|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",""
"isogroup25777","isogroup25777|brown kME=0.45|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup25778","isogroup25778|greenyellow kME=0.51|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup25782","isogroup25782|brown kME=0.41|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","CREB ATF bZIP transcription factor"
"isogroup25788","isogroup25788|darkred kME=0.54|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25789","isogroup25789|skyblue kME=0.42|Associations:(R2=-0.38) response duration to acoustic stimulus.","Potassium voltage-gated channel, shaker-related subfamily, beta member"
"isogroup25790","isogroup25790|blue kME=0.3|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","thioredoxin domain containing 17"
"isogroup25792","isogroup25792|black kME=0.46|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)"
"isogroup25796","isogroup25796|darkred kME=0.44|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25797","isogroup25797|blue kME=0.39|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup25799","isogroup25799|darkred kME=0.46|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25810","isogroup25810|darkorange kME=0.42|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup25811","isogroup25811|saddlebrown kME=0.54|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.",NA
"isogroup25814","isogroup25814|black kME=0.67|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup25816","isogroup25816|darkred kME=0.38|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25818","isogroup25818|darkred kME=0.25|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25820","isogroup25820|black kME=0.46|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","7 transmembrane receptor (rhodopsin family)"
"isogroup25821","isogroup25821|black kME=0.44|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup25824","isogroup25824|blue kME=0.38|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","glycosyltransferase 8 domain containing 2"
"isogroup25826","isogroup25826|greenyellow kME=0.3|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup25827","isogroup25827|darkorange kME=0.41|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup25829","isogroup25829|brown kME=0.29|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","CD74 molecule, major histocompatibility complex, class II invariant chain"
"isogroup25830","isogroup25830|darkorange kME=0.28|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","excision repair cross-complementing rodent repair deficiency, complementation group 2"
"isogroup25833","isogroup25833|darkred kME=0.43|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","dedicator of cytokinesis 1"
"isogroup25837","isogroup25837|darkorange kME=0.3|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Na K transporting ATPase interacting 1"
"isogroup25840","isogroup25840|darkred kME=0.5|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25843","isogroup25843|green kME=0.27|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","SLX1 structure-specific endonuclease subunit homolog A (S. cerevisiae)"
"isogroup25846","isogroup25846|darkred kME=0.45|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25848","isogroup25848|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25853","isogroup25853|skyblue kME=0.31|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup25854","isogroup25854|black kME=0.38|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","zinc finger protein 503"
"isogroup25857","isogroup25857|greenyellow kME=0.3|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Glutaredoxin 3"
"isogroup25858","isogroup25858|black kME=0.49|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup25860","isogroup25860|greenyellow kME=0.37|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","T-complex protein 1 subunit alpha"
"isogroup25861","isogroup25861|black kME=0.38|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","zinc finger protein 395"
"isogroup25862","isogroup25862|darkgrey kME=0.36|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25866","isogroup25866|blue kME=0.59|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","EGF-like domain"
"isogroup25867","isogroup25867|darkgreen kME=0.45|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"isogroup25869","isogroup25869|darkgrey kME=0.49|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25870","isogroup25870|darkred kME=0.29|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25871","isogroup25871|darkgreen kME=0.62|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","forkhead box K2"
"isogroup25872","isogroup25872|black kME=0.36|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup25878","isogroup25878|brown kME=0.48|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup25879","isogroup25879|green kME=0.45|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","dickkopf 3 homolog (Xenopus laevis)"
"isogroup25881","isogroup25881|midnightblue kME=0.36|Associations:(R2=+0.42) mean meandering in response to visual stimulus; (R2=-0.32) time between assay and RNA collection.",NA
"isogroup25888","isogroup25888|darkred kME=0.54|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25890","isogroup25890|blue kME=0.28|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","APEX nuclease (multifunctional DNA repair enzyme) 1"
"isogroup25892","isogroup25892|brown kME=0.31|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup25895","isogroup25895|darkorange kME=0.41|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup25896","isogroup25896|darkorange kME=0.43|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","proteolipid protein 1"
"isogroup25898","isogroup25898|darkorange kME=0.32|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup25906","isogroup25906|black kME=0.49|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","coiled-coil domain containing 25"
"isogroup25907","isogroup25907|cyan kME=0.57|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"isogroup25909","isogroup25909|skyblue kME=0.41|Associations:(R2=-0.38) response duration to acoustic stimulus.","component of oligomeric golgi complex 3"
"isogroup25911","isogroup25911|blue kME=0.28|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup25915","isogroup25915|greenyellow kME=0.39|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","TSPN"
"isogroup25917","isogroup25917|skyblue kME=0.45|Associations:(R2=-0.38) response duration to acoustic stimulus.","SRY (sex determining region Y)-box 11"
"isogroup25919","isogroup25919|green kME=0.41|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","leucine rich repeat containing 17"
"isogroup25930","isogroup25930|saddlebrown kME=0.51|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","autophagy related 14"
"isogroup25936","isogroup25936|darkgrey kME=0.43|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.","LIM domain"
"isogroup25937","isogroup25937|skyblue kME=0.44|Associations:(R2=-0.38) response duration to acoustic stimulus.","premature ovarian failure, 1B"
"isogroup25940","isogroup25940|brown kME=0.62|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","PWWP domain"
"isogroup25942","isogroup25942|midnightblue kME=0.43|Associations:(R2=+0.42) mean meandering in response to visual stimulus; (R2=-0.32) time between assay and RNA collection.",NA
"isogroup25943","isogroup25943|darkorange kME=0.46|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup25944","isogroup25944|red kME=0.26|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","kinesin family member 22"
"isogroup25948","isogroup25948|darkgreen kME=0.39|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","T-box transcription factor"
"isogroup25949","isogroup25949|black kME=0.32|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup25951","isogroup25951|darkorange kME=0.36|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup25956","isogroup25956|brown kME=0.35|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup25958","isogroup25958|brown kME=0.33|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","WD repeat domain, phosphoinositide interacting 1"
"isogroup25959","isogroup25959|skyblue kME=0.43|Associations:(R2=-0.38) response duration to acoustic stimulus.","microtubule-associated protein 6"
"isogroup25961","isogroup25961|black kME=0.32|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup25962","isogroup25962|midnightblue kME=0.45|Associations:(R2=+0.42) mean meandering in response to visual stimulus; (R2=-0.32) time between assay and RNA collection.",NA
"isogroup25965","isogroup25965|blue kME=0.39|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup25969","isogroup25969|blue kME=0.38|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","Kruppel-like factor 10"
"isogroup25970","isogroup25970|darkgreen kME=0.48|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","ribosomal RNA processing 12 homolog (S. cerevisiae)"
"isogroup25971","isogroup25971|brown kME=0.4|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","vimentin"
"isogroup25975","isogroup25975|brown kME=0.51|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup25976","isogroup25976|darkgrey kME=0.37|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25977","isogroup25977|blue kME=0.4|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","eukaryotic translation initiation factor"
"isogroup25978","isogroup25978|green kME=0.3|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Transmembrane protein 18"
"isogroup25979","isogroup25979|skyblue kME=0.33|Associations:(R2=-0.38) response duration to acoustic stimulus.","GRAM domain containing 1A"
"isogroup25980","isogroup25980|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup25981","isogroup25981|green kME=0.27|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","calcium and integrin binding family member 2"
"isogroup25993","isogroup25993|darkorange kME=0.44|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","DPH3, KTI11 homolog (S. cerevisiae)"
"isogroup25994","isogroup25994|skyblue kME=0.66|Associations:(R2=-0.38) response duration to acoustic stimulus.","Adaptor-related protein complex 2, beta 1 subunit"
"isogroup25996","isogroup25996|black kME=0.55|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup25999","isogroup25999|brown kME=0.36|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Inherit from chorNOG: Transmembrane protein 47"
"isogroup260","isogroup260|darkred kME=0.33|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup26005","isogroup26005|black kME=0.36|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1-P) (By similarity)"
"isogroup26007","isogroup26007|orangered4 kME=0.46|Associations:(R2=+0.3) time between assay and RNA collection; (R2=-0.4) response duration to acoustic stimulus; (R2=-0.34) max speed in response to acoustic stimulus.","K(lysine) acetyltransferase 6A"
"isogroup2601","isogroup2601|darkred kME=0.4|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup26015","isogroup26015|darkgreen kME=0.42|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","missing oocyte, meiosis regulator, homolog (Drosophila)"
"isogroup26016","isogroup26016|brown kME=0.37|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Beta/Gamma crystallin"
"isogroup26022","isogroup26022|brown kME=0.31|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup26025","isogroup26025|red kME=0.44|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","solute carrier family 7 (amino acid transporter light chain, y L system), member 7"
"isogroup26027","isogroup26027|black kME=0.5|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","Glutamate-rich WD repeat containing 1"
"isogroup26029","isogroup26029|brown kME=0.55|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","cullin 1"
"isogroup26030","isogroup26030|darkred kME=0.34|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup26039","isogroup26039|greenyellow kME=0.38|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Aspartyl beta-hydroxylase N-terminal region"
"isogroup26044","isogroup26044|skyblue kME=0.48|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup26047","isogroup26047|blue kME=0.46|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","thiosulfate sulfurtransferase rhodanese-like domain-containing protein"
"isogroup2605","isogroup2605|brown kME=0.34|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup26051","isogroup26051|blue kME=0.51|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","adenine phosphoribosyltransferase"
"isogroup26057","isogroup26057|blue kME=0.41|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup26062","isogroup26062|darkorange kME=0.36|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","adaptor-related protein complex 2, sigma 1 subunit"
