"","sequence","NI_annotation","EggNOG_annotation"
"1","isogroup10","isogroup10|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"5461","isogroup30076","isogroup30076|darkgreen kME=0.58|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","myosin, heavy chain"
"5462","isogroup30078","isogroup30078|darkmagenta kME=0.58|Associations:(R2=-0.32) max speed in response to acoustic stimulus.","ZnF_C4"
"5463","isogroup30079","isogroup30079|blue kME=0.47|Associations:(R2=+0.49) response latency.",NA
"5464","isogroup30081","isogroup30081|red kME=0.42|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","D-aspartate oxidase"
"5465","isogroup30082","isogroup30082|darkgrey kME=0.37|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.","Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) (By similarity)"
"5466","isogroup30086","isogroup30086|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"5467","isogroup30088","isogroup30088|greenyellow kME=0.76|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Villin headpiece domain"
"5468","isogroup30093","isogroup30093|midnightblue kME=0.58|Associations:(R2=+0.42) mean meandering in response to visual stimulus.","apolipoprotein H (beta-2-glycoprotein I)"
"5469","isogroup30097","isogroup30097|brown kME=0.45|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"5470","isogroup30098","isogroup30098|blue kME=0.32|Associations:(R2=+0.49) response latency.","NmrA-like family"
"5471","isogroup301","isogroup301|skyblue kME=0.44|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"5472","isogroup30101","isogroup30101|plum1 kME=0.43|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.","CD63 molecule"
"5473","isogroup30104","isogroup30104|blue kME=0.27|Associations:(R2=+0.49) response latency.","glutathione S-transferase"
"5474","isogroup30105","isogroup30105|darkorange kME=0.29|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","G patch domain containing 8"
"5475","isogroup30106","isogroup30106|red kME=0.64|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","retinol saturase (all-trans-retinol 13,14-reductase)"
"5476","isogroup30107","isogroup30107|brown4 kME=0.6|Associations:(R2=+0.3) response duration to acoustic stimulus; (R2=+0.31) mean speed in response to visual stimulus; (R2=+0.31) mean mobility in response to visual stimulus; (R2=-0.49) distance between visual stimulus and larva at response initiation; (R2=-0.36) mean angular speed in response to visual stimulus.","serrate RNA effector molecule homolog (Arabidopsis)"
"5477","isogroup30108","isogroup30108|darkred kME=0.41|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","calcium channel, voltage-dependent, beta 4 subunit"
"5478","isogroup30110","isogroup30110|greenyellow kME=0.62|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"5479","isogroup30111","isogroup30111|darkred kME=0.29|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5480","isogroup30112","isogroup30112|green kME=0.27|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","deoxyribonuclease I"
"5481","isogroup30117","isogroup30117|black kME=0.38|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"5482","isogroup30119","isogroup30119|brown kME=0.04|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"5483","isogroup30121","isogroup30121|orangered4 kME=0.43|Associations:(R2=-0.4) response duration to acoustic stimulus; (R2=-0.34) max speed in response to acoustic stimulus.","Rho GTPase activating protein 21"
"5484","isogroup30123","isogroup30123|green kME=0.33|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","REX2, RNA exonuclease 2 homolog (S. cerevisiae)"
"5485","isogroup30124","isogroup30124|skyblue kME=0.44|Associations:(R2=-0.38) response duration to acoustic stimulus.","Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)"
"5486","isogroup30129","isogroup30129|blue kME=0.55|Associations:(R2=+0.49) response latency.","asparagine-linked glycosylation 5, dolichyl-phosphate beta-glucosyltransferase homolog (S. cerevisiae)"
"5487","isogroup30130","isogroup30130|midnightblue kME=0.46|Associations:(R2=+0.42) mean meandering in response to visual stimulus.","Lectin C-type domain"
"5488","isogroup30131","isogroup30131|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5489","isogroup30132","isogroup30132|red kME=0.34|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","DIL domain"
"5490","isogroup30133","isogroup30133|brown kME=0.43|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"5491","isogroup30134","isogroup30134|darkred kME=0.39|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5492","isogroup30135","isogroup30135|darkgreen kME=0.45|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","collagen, type XII, alpha 1"
"5493","isogroup30137","isogroup30137|midnightblue kME=0.37|Associations:(R2=+0.42) mean meandering in response to visual stimulus.","parahox cluster neighbor"
"5494","isogroup30138","isogroup30138|black kME=0.35|Associations:(R2=+0.29) mean speed in response to visual stimulus.","Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)"
"5495","isogroup30140","isogroup30140|darkred kME=0.49|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5496","isogroup30148","isogroup30148|midnightblue kME=0.49|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"5497","isogroup30149","isogroup30149|darkred kME=0.39|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5498","isogroup30152","isogroup30152|brown kME=0.45|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","baculoviral IAP repeat containing 3"
"5499","isogroup30155","isogroup30155|greenyellow kME=0.4|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","mitochondrial ribosomal protein L30"
"5500","isogroup30156","isogroup30156|cyan kME=0.55|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"
"5501","isogroup30157","isogroup30157|saddlebrown kME=0.58|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","nucleosome assembly protein 1-like 1"
"5502","isogroup30162","isogroup30162|green kME=0.56|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Transmembrane protein"
"5503","isogroup30163","isogroup30163|red kME=0.63|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","Zinc finger, C4 type (two domains)"
"5504","isogroup30165","isogroup30165|green kME=0.35|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","poly-U binding splicing factor 60KDa"
"5505","isogroup30166","isogroup30166|orangered4 kME=0.55|Associations:(R2=-0.4) response duration to acoustic stimulus; (R2=-0.34) max speed in response to acoustic stimulus.","collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase"
"5506","isogroup30169","isogroup30169|black kME=0.36|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"5507","isogroup30170","isogroup30170|brown kME=0.51|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"5508","isogroup30171","isogroup30171|blue kME=0.33|Associations:(R2=+0.49) response latency.","COP9 constitutive photomorphogenic homolog subunit 5"
"5509","isogroup30177","isogroup30177|darkred kME=0.63|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","MAP7 domain containing"
"5510","isogroup30178","isogroup30178|red kME=0.56|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"5511","isogroup30180","isogroup30180|skyblue kME=0.3|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"5512","isogroup30181","isogroup30181|black kME=0.3|Associations:(R2=+0.29) mean speed in response to visual stimulus.","phosphoinositide kinase, FYVE finger containing"
"5513","isogroup30182","isogroup30182|darkmagenta kME=0.69|Associations:(R2=-0.32) max speed in response to acoustic stimulus.",NA
"5514","isogroup30184","isogroup30184|darkorange kME=0.35|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"5515","isogroup30185","isogroup30185|darkred kME=0.34|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","apoptosis-associated tyrosine kinase"
"5516","isogroup30187","isogroup30187|blue kME=0.39|Associations:(R2=+0.49) response latency.",NA
"5517","isogroup30188","isogroup30188|red kME=0.42|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","cytochrome b5 reductase 2"
"5518","isogroup30189","isogroup30189|black kME=0.31|Associations:(R2=+0.29) mean speed in response to visual stimulus.","SPRY"
"5519","isogroup30190","isogroup30190|darkred kME=0.39|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","microtubule-associated protein RP EB family member"
"5520","isogroup30193","isogroup30193|brown kME=0.36|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","kiaa1467"
"5521","isogroup30194","isogroup30194|darkgreen kME=0.45|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","STYKc"
"5522","isogroup30195","isogroup30195|darkorange kME=0.33|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Intermediate filament protein"
"5523","isogroup30206","isogroup30206|darkred kME=0.48|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5524","isogroup30209","isogroup30209|darkred kME=0.5|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","tetraspanin 3"
"5525","isogroup30214","isogroup30214|darkred kME=0.51|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5526","isogroup30220","isogroup30220|darkred kME=0.39|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","Protein kinase, AMP-activated, beta 1 non-catalytic subunit"
"5527","isogroup30224","isogroup30224|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.","transducin (beta)-like 3"
"5528","isogroup30226","isogroup30226|darkorange kME=0.65|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Nedd4 family interacting protein 1"
"5529","isogroup30228","isogroup30228|skyblue kME=0.51|Associations:(R2=-0.38) response duration to acoustic stimulus.","lactate dehydrogenase B"
"5530","isogroup30229","isogroup30229|darkgreen kME=0.57|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"5531","isogroup30231","isogroup30231|darkred kME=0.39|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","thyroid hormone receptor associated protein"
"5532","isogroup30238","isogroup30238|skyblue kME=0.32|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"5533","isogroup30243","isogroup30243|midnightblue kME=0.35|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"5534","isogroup30244","isogroup30244|black kME=0.4|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"5535","isogroup30247","isogroup30247|greenyellow kME=0.37|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","ubiquitin-conjugating enzyme"
"5536","isogroup30248","isogroup30248|skyblue kME=0.36|Associations:(R2=-0.38) response duration to acoustic stimulus.","synaptophysin"
"5537","isogroup30251","isogroup30251|red kME=0.27|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"5538","isogroup30260","isogroup30260|brown4 kME=0.66|Associations:(R2=+0.3) response duration to acoustic stimulus; (R2=+0.31) mean speed in response to visual stimulus; (R2=+0.31) mean mobility in response to visual stimulus; (R2=-0.49) distance between visual stimulus and larva at response initiation; (R2=-0.36) mean angular speed in response to visual stimulus.",NA
"5539","isogroup30263","isogroup30263|darkgreen kME=0.42|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","Septin 6"
"5540","isogroup30269","isogroup30269|darkred kME=0.5|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","visinin-like 1"
"5541","isogroup30270","isogroup30270|brown kME=0.33|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","RhoGEF"
"5542","isogroup30274","isogroup30274|blue kME=0.29|Associations:(R2=+0.49) response latency.","asparagine-linked glycosylation 3, alpha-1,3- mannosyltransferase homolog (S. cerevisiae)"
"5543","isogroup30275","isogroup30275|darkred kME=0.36|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5544","isogroup30277","isogroup30277|greenyellow kME=0.58|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","sarcalumenin"
"5545","isogroup30282","isogroup30282|greenyellow kME=0.28|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Transforming growth factor beta 3"
"5546","isogroup30286","isogroup30286|darkgreen kME=0.39|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","high density lipoprotein binding protein"
"5547","isogroup30289","isogroup30289|darkgrey kME=0.44|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"5548","isogroup3029","isogroup3029|skyblue kME=0.37|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"5549","isogroup30291","isogroup30291|brown kME=0.43|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Nfu_N"
"5550","isogroup30294","isogroup30294|red kME=0.3|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","aminoacylase 1"
"5551","isogroup30300","isogroup30300|darkmagenta kME=0.51|Associations:(R2=-0.32) max speed in response to acoustic stimulus.","Secretogranin III"
"5552","isogroup30301","isogroup30301|darkgrey kME=0.4|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.","GLA"
"5553","isogroup30302","isogroup30302|red kME=0.3|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"5554","isogroup30303","isogroup30303|darkred kME=0.53|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","synaptosomal-associated protein, 91kDa homolog (mouse)"
"5555","isogroup30305","isogroup30305|darkgreen kME=0.43|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","PDGFA associated protein 1"
"5556","isogroup30306","isogroup30306|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5557","isogroup30307","isogroup30307|brown kME=0.3|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"5558","isogroup30309","isogroup30309|greenyellow kME=0.39|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae)"
"5559","isogroup30310","isogroup30310|red kME=0.84|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","angiotensin I converting enzyme (peptidyl-dipeptidase A) 2"
"5560","isogroup30311","isogroup30311|darkred kME=0.28|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5561","isogroup30315","isogroup30315|darkred kME=0.35|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5562","isogroup30317","isogroup30317|brown kME=0.34|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","ZnF_C2H2"
"5563","isogroup30318","isogroup30318|black kME=0.69|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"5564","isogroup30319","isogroup30319|darkred kME=0.41|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5565","isogroup30323","isogroup30323|black kME=0.51|Associations:(R2=+0.29) mean speed in response to visual stimulus.","solute carrier family 25, member 30"
"5566","isogroup30326","isogroup30326|darkred kME=0.6|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","protein Z, vitamin K-dependent plasma glycoprotein"
"5567","isogroup30328","isogroup30328|brown kME=0.76|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","protein phosphatase, Mg2 Mn2 dependent, 1K"
"5568","isogroup30331","isogroup30331|black kME=0.44|Associations:(R2=+0.29) mean speed in response to visual stimulus.","Eukaryotic translation initiation factor 2-alpha kinase 1"
"5569","isogroup30332","isogroup30332|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5570","isogroup30333","isogroup30333|red kME=0.68|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"5571","isogroup30336","isogroup30336|midnightblue kME=0.35|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"5572","isogroup30338","isogroup30338|brown kME=0.36|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"5573","isogroup30339","isogroup30339|green kME=0.3|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","solute carrier family 12 (potassium chloride transporter), member 5"
"5574","isogroup30343","isogroup30343|skyblue kME=0.33|Associations:(R2=-0.38) response duration to acoustic stimulus.","syndecan binding protein (syntenin) 2"
"5575","isogroup30346","isogroup30346|blue kME=0.45|Associations:(R2=+0.49) response latency.","annexin A11"
"5576","isogroup30349","isogroup30349|orangered4 kME=0.45|Associations:(R2=-0.4) response duration to acoustic stimulus; (R2=-0.34) max speed in response to acoustic stimulus.",NA
"5577","isogroup30352","isogroup30352|darkorange kME=0.3|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"5578","isogroup30353","isogroup30353|skyblue kME=0.5|Associations:(R2=-0.38) response duration to acoustic stimulus.","proline-rich transmembrane protein 2"
"5579","isogroup30354","isogroup30354|lightcyan1 kME=0.41|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.",NA
"5580","isogroup30355","isogroup30355|midnightblue kME=0.47|Associations:(R2=+0.42) mean meandering in response to visual stimulus.","Mob1/phocein family"
"5581","isogroup30357","isogroup30357|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","Rap guanine nucleotide exchange factor (GEF) 4"
"5582","isogroup30358","isogroup30358|cyan kME=0.6|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"5583","isogroup30359","isogroup30359|blue kME=0.49|Associations:(R2=+0.49) response latency.","periostin, osteoblast specific factor"
"5584","isogroup30364","isogroup30364|darkorange kME=0.41|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","SPRY"
"5585","isogroup30369","isogroup30369|red kME=0.73|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","ectonucleotide pyrophosphatase phosphodiesterase 7"
"5586","isogroup30371","isogroup30371|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","solute carrier family 35, member G6"
"5587","isogroup30374","isogroup30374|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5588","isogroup30376","isogroup30376|skyblue kME=0.52|Associations:(R2=-0.38) response duration to acoustic stimulus.","CDC14 cell division cycle 14 homolog B (S. cerevisiae)"
"5589","isogroup30378","isogroup30378|brown kME=0.37|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"5590","isogroup30380","isogroup30380|black kME=0.38|Associations:(R2=+0.29) mean speed in response to visual stimulus.","Immunoglobulin domain"
"5591","isogroup30381","isogroup30381|darkred kME=0.57|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5592","isogroup30383","isogroup30383|greenyellow kME=0.33|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","nuclear transcription factor, X-box binding 1"
"5593","isogroup30385","isogroup30385|greenyellow kME=0.64|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","ryanodine receptor 3"
"5594","isogroup30388","isogroup30388|darkgrey kME=0.38|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"5595","isogroup30390","isogroup30390|red kME=0.28|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","glycerophosphodiester phosphodiesterase domain containing 4"
"5596","isogroup30392","isogroup30392|darkred kME=0.78|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"5597","isogroup30393","isogroup30393|skyblue kME=0.48|Associations:(R2=-0.38) response duration to acoustic stimulus.","solute carrier family 27 (fatty acid transporter), member 6"
"5598","isogroup30395","isogroup30395|darkorange kME=0.49|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"5599","isogroup30397","isogroup30397|black kME=0.38|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"5600","isogroup30400","isogroup30400|green kME=0.48|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","N-6 adenine-specific DNA methyltransferase 1"
"5601","isogroup30402","isogroup30402|brown kME=0.31|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","DSPc"
"5602","isogroup30404","isogroup30404|red kME=0.29|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","transmembrane protein 82"
"5603","isogroup30405","isogroup30405|blue kME=0.37|Associations:(R2=+0.49) response latency.","stromal cell derived factor 4"
"5604","isogroup30407","isogroup30407|midnightblue kME=0.39|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"5605","isogroup30415","isogroup30415|skyblue kME=0.33|Associations:(R2=-0.38) response duration to acoustic stimulus.","Rho guanine nucleotide exchange factor (GEF) 4"
"5606","isogroup30416","isogroup30416|darkred kME=0.28|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","Sodium leak channel, non-selective"
"5607","isogroup30417","isogroup30417|darkgreen kME=0.62|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","Nebulin repeat"
"5608","isogroup30418","isogroup30418|skyblue kME=0.48|Associations:(R2=-0.38) response duration to acoustic stimulus.","adenylate cyclase 2 (brain)"
"5609","isogroup30419","isogroup30419|cyan kME=0.41|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
